MDEC-23	16.0571457810608  43.7113041648712
LipoaffinityIndex	2.99506495960884  18.9563148776301
nC	16.0  41.0
minHsOH	0.0  0.703337059220811
C1SP2	0.0  2.0
nHBAcc	0.0  4.0
maxHsOH	0.0  0.720324022013275
BCUTc-1l	-0.391983434048946  -0.328275708330099
minHBint5	0.0  5.87224465473961
MLFER_A	0.003  2.002
minsOH	0.0  10.0398284463554
maxssO	0.0  6.58827760117668
MLogP	2.67  5.31
minsssN	0.0  2.55470479549844
ATSc3	-0.131735446885087  0.261620560010692
ETA_Shape_Y	0.21676  0.44262
TopoPSA	12.47  152.459999999999
MDEC-33	4.50854012042529  17.459031236269
mindssC	-1.21290006294883  1.32871262059137
maxHBint5	0.0  7.00083802003024
